"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
24005450501,"Essex, MD",39074
24005402509,"Owings Mills, MD",39051
24510010100,"Canton, Baltimore, MD",39010
24005420302,"Dundalk, MD",38990
24005450400,"Essex, MD",38893
24003730204,"Glen Burnie, MD",38740
24005420402,"Dundalk, MD",38721
24005402603,"Randallstown, MD",38649
24005440300,"Nottingham, MD",38316
24005403100,"Gwynn Oak, Pikesville, MD",38209
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",38038
24005430900,"Baltimore, MD",38033
24510271503,"Cross Keys, Baltimore, MD",38011
24003750203,"Baltimore, MD",37940
24510260605,"Medford - Broening, Baltimore, MD",37634
24027601107,"Waterloo, Elkridge, MD",37524
24005402506,"Randallstown, MD",37372
24003751102,"Glen Burnie, MD",37099
24003750201,"Brooklyn, Baltimore, MD",37028
24005440701,"Rosedale, MD",36915
24510270101,"Arcadia, Baltimore, MD",36856
24510120201,"Baltimore, MD",36843
24510130700,"Hampden, Baltimore, MD",36760
24005491402,"Parkville, MD",36406
24510280403,"Westgate, Baltimore, MD",36391
24005401301,"Woodlawn, MD",36276
24005420301,"Dundalk, MD",36267
24510230200,"South Baltimore, Baltimore, MD",36173
24510270302,"Waltherson, Baltimore, MD",36167
24005421101,"Baltimore, MD",36164
24510272006,"Glen, Baltimore, MD",36132
24005401506,"Windsor Mill, Baltimore, MD",35918
24005451100,"Essex, MD",35910
24510120202,"Baltimore, MD",35701
24510270200,"Lauraville, Baltimore, MD",35540
24510271101,"Radnor - Winston, Baltimore, MD",35516
24510130803,"Medfield, Baltimore, MD",35488
24510130804,"Hampden, Baltimore, MD",35229
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",35196
24005492300,"Essex, MD",35050
24510130600,"Hampden, Baltimore, MD",34977
24005451500,"Middle River, MD",34826
24005451402,"Middle River, MD",34771
24005441000,"Baltimore, MD",34540
24510270301,"Lauraville, Baltimore, MD",34521
24005402403,"Gwynn Oak, Baltimore, MD",34429
24003730203,"Glen Burnie, MD",34306
24005402407,"Windsor Mill, Milford Mill, MD",34242
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",34230
24027601203,"Elkridge, MD",34149
24003750102,"Baltimore, MD",34111
24510260700,"Fifteenth Street, Baltimore, MD",34084
24005420401,"Dundalk, MD",34041
24003750803,"Glen Burnie, MD",34011
24005402604,"Randallstown, MD",34005
24510010300,"Canton, Baltimore, MD",34001
24510260101,"Cedmont, Baltimore, MD",33966
24005401101,"Woodlawn, MD",33956
24510272007,"Fallstaff, Baltimore, MD",33649
24510270102,"Waltherson, Baltimore, MD",33423
24003750101,"Brooklyn Park, MD",33235
24005451401,"Middle River, MD",33164
24005402602,"Randallstown, MD",32991
24005403201,"Gwynn Oak, Lochearn, MD",32955
24510270401,"Glenham-Belford, Baltimore, MD",32829
24510260900,"Baltimore, MD",32774
24005421000,"Dundalk, MD",32749
24510250303,"Morrell Park, Baltimore, MD",32713
24005402306,"Windsor Mill, Baltimore, MD",32670
24510250206,"Morrell Park, Baltimore, MD",32478
24510250401,"Brooklyn, Baltimore, MD",32334
24005401302,"Gwynn Oak, Baltimore, MD",32284
24005402505,"Randallstown, MD",32278
24005402503,"Randallstown, MD",32253
24005450800,"Essex, MD",32086
24510130806,"Woodberry, Baltimore, MD",32065
24005402302,"Windsor Mill, Milford Mill, MD",31989
24510130805,"Cold Springs, Baltimore, MD",31673
24005402405,"Gwynn Oak, Baltimore, MD",31654
24005401102,"Gwynn Oak, Woodlawn, MD",31388
24005401507,"Windsor Mill, Baltimore, MD",31319
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",31059
24510140100,"Bolton Hill, Baltimore, MD",31013
24005401200,"Woodlawn, MD",30833
24005450504,"Essex, MD",30782
24510010200,"Patterson Park, Baltimore, MD",30730
24510080101,"Belair - Edison, Baltimore, MD",30683
24005452300,"Baltimore, MD",30625
24510260102,"Frankford, Baltimore, MD",30602
24005402304,"Gwynn Oak, Baltimore, MD",30583
24510010500,"Upper Fells Point, Baltimore, MD",30506
24510270802,"Ramblewood, Baltimore, MD",30460
24510240300,"Riverside, Baltimore, MD",30343
24510020200,"Upper Fells Point, Baltimore, MD",30331
24510280401,"Baltimore, MD",30136
24510260401,"Armistead Gardens, Baltimore, MD",30096
24510270903,"Hillen, Baltimore, MD",29888
24005491401,"Parkville, MD",29872
24510260800,"Baltimore Highlands, Baltimore, MD",29806
24005450503,"Essex, MD",29626
24510040100,"Downtown, Baltimore, MD",29572
24510270801,"Idlewood, Baltimore, MD",29566
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",29550
24005402303,"Windsor Mill, Baltimore, MD",29459
24510271900,"Glen, Baltimore, MD",29007
24510250101,"Beechfield, Baltimore, MD",28901
24510270902,"Perring Loch, Baltimore, MD",28829
24005402307,"Pikesville, MD",28779
24005402404,"Gwynn Oak, Lochearn, MD",28760
24510020100,"Upper Fells Point, Baltimore, MD",28651
24005402406,"Windsor Mill, Milford Mill, MD",28556
24510260302,"Belair - Edison, Baltimore, MD",28273
24510270803,"Loch Raven, Baltimore, MD",28142
24005421300,"Dundalk, MD",28085
24510270901,"New Northwood, Baltimore, MD",27828
24005402305,"Lochearn, Pikesville, MD",27640
24510151100,"East Arlington, Baltimore, MD",27562
24510150702,"Walbrook, Baltimore, MD",27397
24510270805,"Mid-Govans, Baltimore, MD",27254
24005403202,"Gwynn Oak, Baltimore, MD",27185
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",27083
24510280200,"Gwynn Oak, Baltimore, MD",27081
24510280402,"Rognel Heights, Baltimore, MD",27079
24510280404,"Irvington, Baltimore, MD",27026
24510260201,"Frankford, Baltimore, MD",26860
24510280301,"Gwynn Oak, Baltimore, MD",26664
24510170100,"Downtown, Baltimore, MD",26472
24510200800,"Irvington, Baltimore, MD",26352
24510230300,"South Baltimore, Baltimore, MD",26307
24510250402,"Brooklyn, Baltimore, MD",25867
24510261000,"Patterson Park, Baltimore, MD",25856
24510260202,"Parkside, Baltimore, MD",25779
24510150800,"Garwyn Oaks, Baltimore, MD",25764
24510250205,"Lakeland, Baltimore, MD",25554
24510260203,"Frankford, Baltimore, MD",25295
24510250600,"Brooklyn, Baltimore, MD",25248
24510150900,"Windsor Hills, Baltimore, MD",25169
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",25109
24510150500,"Burleith-Leighton, Baltimore, MD",25101
24510260404,"Baltimore Highlands, Baltimore, MD",24993
24510120700,"Remington, Baltimore, MD",24949
24510280102,"Gwynn Oak, Baltimore, MD",24897
24510200701,"Allendale, Baltimore, MD",24833
24510250102,"Yale Heights, Baltimore, MD",24720
24510280302,"West Forest Park, Baltimore, MD",24550
24510210200,"Pigtown, Baltimore, MD",24485
24510260301,"Belair - Edison, Baltimore, MD",24385
24510271002,"Winston - Govans, Baltimore, MD",24235
24510120600,"Old Goucher, Baltimore, MD",24207
24510030200,"Little Italy, Baltimore, MD",24161
24510130400,"Woodbrook, Baltimore, MD",24140
24510150701,"Hanlon Longwood, Baltimore, MD",24022
24510151000,"Dorchester, Baltimore, MD",23964
24510080500,"Darley Park, Baltimore, MD",23960
24510070100,"Baltimore, MD",23921
24510090500,"Better Waverly, Baltimore, MD",23896
24510260402,"Frankford, Baltimore, MD",23846
24510150300,"Coppin Heights, Baltimore, MD",23711
24510090400,"Better Waverly, Baltimore, MD",23682
24510060200,"Baltimore, MD",23680
24510180200,"Poppleton, Baltimore, MD",23589
24510271700,"Central Park Heights, Baltimore, MD",23573
24510160801,"Edmondson, Baltimore, MD",23560
24510250500,"Curtis Bay, Baltimore, MD",23511
24510200600,"Baltimore, MD",23503
24510160600,"Mosher, Baltimore, MD",23398
24510160802,"Edmondson, Baltimore, MD",23339
24510190200,"Pratt Monroe, Baltimore, MD",23132
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",23066
24510250207,"Cherry Hill, Baltimore, MD",23054
24510271801,"Arlington, Baltimore, MD",22976
24510180300,"Hollins Market, Baltimore, MD",22843
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",22834
24510200702,"Saint Joseph's, Baltimore, MD",22796
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",22715
24510250203,"Cherry Hill, Baltimore, MD",22615
24510151200,"Park Circle, Baltimore, MD",22569
24510110100,"Downtown, Baltimore, MD",22380
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",22353
24510280101,"Reisterstown Station, Baltimore, MD",22227
24510151300,"Central Park Heights, Baltimore, MD",22041
24510271600,"Edgecomb, Baltimore, MD",22039
24510120400,"Barclay, Baltimore, MD",22014
24510200100,"Lexington, Baltimore, MD",21994
24510080302,"Berea, Baltimore, MD",21937
24510260403,"Cedonia, Baltimore, MD",21855
24510120300,"Harwood, Baltimore, MD",21829
24510030100,"Perkins Homes, Baltimore, MD",21730
24510271001,"Baltimore, MD",21592
24510060400,"Baltimore, MD",21548
24510120500,"Greenmount West, Baltimore, MD",21491
24510080102,"Belair - Edison, Baltimore, MD",21306
24510130200,"Reservoir Hill, Baltimore, MD",21169
24510130300,"Penn North, Baltimore, MD",21098
24510160700,"Rosemont, Baltimore, MD",21059
24510080400,"Broadway East, Baltimore, MD",21031
24510150400,"Mondawmin, Baltimore, MD",21027
24510160200,"Sandtown-Winchester, Baltimore, MD",21000
24510230100,"Baltimore, MD",20867
24510160300,"Sandtown-Winchester, Baltimore, MD",20823
24510160400,"Midtown Edmondson, Baltimore, MD",20746
24510271802,"Langston Hughes, Baltimore, MD",20693
24510070200,"Madison - Eastend, Baltimore, MD",20593
24510110200,"Downtown, Baltimore, MD",20544
24510060300,"Butchers Hill, Baltimore, MD",20540
24510150200,"Sandtown-Winchester, Baltimore, MD",20535
24510150600,"NW Community Action, Baltimore, MD",20499
24510080700,"Broadway East, Baltimore, MD",20408
24510080600,"Broadway East, Baltimore, MD",20290
24510260604,"O'Donnell Heights, Baltimore, MD",20224
24510200300,"Bentalou-Smallwood, Baltimore, MD",20190
24510080200,"Broadway East, Baltimore, MD",20109
24510060100,"Patterson Park, Baltimore, MD",20087
24510170200,"McCulloh Homes, Baltimore, MD",20067
24510070400,"Gay Street, Baltimore, MD",19964
24510090800,"East Baltimore Midway, Baltimore, MD",19928
24510080301,"Berea, Baltimore, MD",19808
24510200500,"Mill Hill, Baltimore, MD",19774
24510090900,"Oliver, Baltimore, MD",19761
24510200200,"Lexington, Baltimore, MD",19702
24510210100,"Pigtown, Baltimore, MD",19652
24510040200,"Downtown, Baltimore, MD",19585
24510140200,"Upton, Baltimore, MD",19502
24510140300,"Druid Heights, Baltimore, MD",19456
24510250301,"Westport, Baltimore, MD",19170
24510280500,"Pleasant View Gardens, Baltimore, MD",19012
24510260303,"Claremont - Freedom, Baltimore, MD",18934
24510100200,"Baltimore, MD",18863
24510160100,"Harlem Park, Baltimore, MD",18830
24510170300,"Upton, Baltimore, MD",18622
24510190100,"Franklin Square, Baltimore, MD",18590
24510130100,"Reservoir Hill, Baltimore, MD",18511
24510070300,"Milton - Montford, Baltimore, MD",18395
24510250204,"Cherry Hill, Baltimore, MD",18323
24510100100,"Johnson Square, Baltimore, MD",18283
24510190300,"Mount Clare, Baltimore, MD",18257
24510150100,"Sandtown-Winchester, Baltimore, MD",18235
24510200400,"Shipley Hill, Baltimore, MD",18055
24510080800,"Broadway East, Baltimore, MD",17961
24510180100,"Poppleton, Baltimore, MD",15990
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
